係	42099179
唔	33904582
有	33651092
人	30930555
一	29817300
都	26965853
個	25543593
好	25214033
我	25049294
的	24942818
到	21016403
會	19302582
你	18968990
大	16737177
佢	15565983
就	15347925
要	14863779
得	14290562
不	14154323
以	14115433
同	13030188
咁	12754236
多	12673465
出	12410637
上	12257462
過	12255140
日	12250119
可	11831415
中	11648661
地	11515051
時	10492490
年	10383228
下	10259050
家	9919721
為	9722465
無	9685990
去	9578460
左	9295133
後	9214409
國	9185055
是	9077041
自	8964605
但	8682079
港	8553649
在	8456222
又	8354097
嘅	8274885
既	8248198
做	8222828
用	8066454
點	8040637
成	7982435
真	7789396
冇	7766395
打	7674312
話	7601122
睇	7507418
開	7464472
啦	7157742
想	7096040
其	7093569
前	7065805
呢	6972060
入	6886720
講	6860512
幾	6857902
先	6840257
果	6802033
對	6710258
最	6594574
啲	6561907
本	6479636
比	6456541
行	6442778
生	6420016
可以	6371965
場	6335959
手	6317204
之	6058030
知	6011336
心	5987066
事	5957853
實	5950619
定	5945740
而	5915336
他	5898383
香	5798211
經	5629603
仲	5582512
咩	5527184
分	5485975
主	5429143
香港	5369103
己	5336137
機	5303580
如	5299977
來	5292926
撚	5247564
自己	5230260
真係	5205060
次	5188343
意	5064520
發	5060640
了	5038436
能	5018641
女	5018247
已	4996806
問	4912142
面	4869928
全	4868915
法	4841625
新	4834460
兩	4832246
方	4814053
今	4775636
黎	4752760
月	4734538
公	4717937
學	4640454
咪	4616129
應	4567177
所	4496211
加	4484526
當	4473099
及	4445222
見	4436694
未	4409471
住	4406057
間	4403799
力	4388436
因	4376305
明	4338526
於	4335335
民	4332093
動	4275017
高	4268671
老	4255948
者	4246228
少	4242628
工	4242590
都係	4235757
買	4219548
返	4196933
然	4167342
現	4147940
野	4141034
仔	4108874
唔係	4071575
理	4059590
小	4056499
再	4053105
正	4017962
美	4009936
食	3984357
覺	3978417
只	3903312
樣	3902656
身	3897578
頭	3871187
一個	3856254
位	3838723
期	3811703
咗	3806186
邊	3797515
完	3739846
名	3711390
外	3695146
度	3686926
解	3677654
該	3668371
員	3631479
埋	3611901
作	3594435
政	3586438
似	3568007
和	3560804
重	3510706
球	3509526
部	3471394
收	3465285
文	3449674
死	3440711
元	3434547
至	3425247
三	3403558
車	3385548
條	3361768
被	3349450
市	3315081
等	3304891
起	3304760
子	3300215
水	3278992
緊	3250079
警	3241169
友	3218210
其實	3200426
反	3196283
表	3193987
連	3176133
玩	3170226
屌	3149441
長	3120515
巴	3116219
電	3112104
第	3101361
報	3083878
天	3071485
由	3063754
隻	3046877
情	3016555
班	3007053
將	2997346
萬	2980721
關	2972792
放	2923528
記	2921793
道	2919097
呀	2909703
金	2904595
指	2895899
平	2895829
數	2875832
內	2865822
這	2860636
相	2856681
利	2849852
落	2845998
錢	2838085
隊	2829866
已經	2824068
十	2822391
唔好	2818677
如果	2801414
覺得	2763008
價	2756138
算	2752063
更	2728430
叫	2720007
走	2692467
合	2687222
資	2678559
回	2677660
題	2671401
俾	2646102
唔會	2645673
業	2643768
樓	2643022
說	2642393
應該	2641131
識	2634724
與	2624906
支	2609907
好多	2600241
狗	2553716
太	2545572
口	2535739
台	2532432
因為	2518056
推	2516005
通	2491217
受	2491090
影	2481350
線	2479392
即	2478016
好似	2477801
路	2470082
諗	2469872
士	2467098
不過	2420338
信	2419497
直	2416307
二	2413859
唔到	2378696
星	2376499
接	2376412
街	2366877
波	2362649
聽	2344842
望	2343098
持	2340473
單	2339359
英	2337490
感	2328840
近	2327116
原	2309259
馬	2303887
乜	2299147
計	2297729
認	2281854
世	2275805
特	2267714
也	2225691
幫	2223016
選	2221025
大家	2209354
示	2202879
轉	2198822
們	2196251
搵	2192094
份	2179627
變	2177298
依	2173967
係咪	2172396
男	2153701
性	2152491
向	2147448
交	2139562
保	2133655
司	2126779
足	2122748
升	2122086
可能	2119023
或	2118582
代	2114819
黑	2099646
區	2099203
難	2098943
夠	2087460
股	2077844
快	2077678
每	2074152
問題	2069917
安	2067657
件	2067620
張	2053900
立	2048052
教	2047372
架	2037299
所以	2034762
體	2028805
搞	2020911
嚟	2020165
氣	2014267
戰	1994389
任	1994237
門	1988201
早	1985225
常	1977204
提	1950053
留	1925814
進	1920114
共	1918817
物	1913676
半	1903515
她	1902673
求	1901165
西	1892059
賽	1889279
聯	1887511
界	1883748
府	1882771
令	1882137
周	1880934
唔知	1880035
亦	1874578
一定	1862506
陣	1843036
約	1814202
點解	1813567
母	1813098
低	1808947
鐘	1805905
中國	1804496
強	1802848
網	1796569
傳	1795824
化	1789345
喺	1786771
有冇	1783551
之後	1777128
試	1774413
四	1774411
非	1774352
五	1773261
集	1768972
差	1766213
投	1763923
別	1763142
請	1746426
議	1743186
目	1742922
屋	1742444
色	1737091
聲	1732119
政府	1730139
就係	1723061
首	1713725
基	1703102
呢個	1702582
沒	1702403
愛	1693926
洗	1690182
始	1689602
結	1684861
制	1678325
師	1676384
白	1671333
其他	1666948
阿	1659997
續	1658029
海	1648197
晚	1638068
斯	1637444
運	1635267
建	1631777
登	1627775
企	1627722
論	1625483
清	1611906
都有	1604354
細	1600398
達	1597078
爆	1595862
排	1578240
美國	1576152
總	1573560
風	1568863
神	1564866
權	1563965
帶	1561318
朋	1557878
客	1557224
我都	1556722
角	1555054
嗰	1549568
何	1549244
時間	1548379
拉	1544199
而家	1542631
朋友	1537163
跟	1534168
那	1533082
東	1531103
有人	1528060
產	1527687
活	1527038
底	1521757
失	1516967
改	1510575
醫	1509542
包	1508987
證	1507018
還	1503331
華	1502529
種	1499981
齊	1499417
片	1497379
告	1479343
並	1472416
希	1464476
料	1459302
除	1458915
公司	1458469
軍	1456189
笑	1453579
哋	1452357
黃	1452208
晒	1449118
番	1448711
超	1443545
費	1434725
務	1434119
處	1433041
整	1417814
言	1415159
拍	1399966
灣	1398971
看	1390788
社	1388939
眼	1385766
根	1385241
號	1376836
錯	1374472
姐	1371236
使	1367821
係唔	1366976
易	1366513
調	1365348
離	1357806
字	1353753
商	1350490
案	1347600
賣	1346621
視	1345626
格	1345606
歲	1341308
花	1340910
局	1339665
嘢	1339251
開始	1338503
讀	1333399
量	1332477
把	1331856
決	1326629
個人	1320805
消	1318195
爭	1314350
派	1311380
見到	1308619
龍	1307422
傷	1307213
之前	1304382
流	1301813
百	1291411
著	1290264
今日	1286434
取	1284898
遊	1283869
此	1279908
仲有	1275585
光	1274289
係咁	1267560
另	1261370
息	1258993
品	1258636
勁	1258139
飛	1254482
式	1253885
卡	1249486
昨	1248337
山	1241929
終	1241587
第一	1239753
熱	1238174
換	1236531
裝	1236130
較	1234370
書	1232660
希望	1232349
治	1232267
哂	1231559
院	1230130
火	1226220
組	1224713
從	1223634
查	1213533
鳩	1213455
圖	1212319
需	1206394
展	1205505
送	1202916
程	1194271
擊	1189774
各	1189079
考	1188376
樂	1187846
老母	1186654
巴打	1183693
都好	1182098
紅	1169423
則	1164441
驚	1160713
世界	1155743
拎	1153585
便	1148701
空	1146213
團	1141742
服	1140169
貨	1139221
咁多	1136240
亞	1135801
例	1135537
個月	1133911
預	1132769
追	1132031
響	1131193
曾	1121735
沒有	1119286
防	1117662
有無	1116773
殺	1115978
備	1115300
專	1112531
囉	1111449
假	1110166
病	1109971
季	1109213
林	1106523
一樣	1105654
繼	1105482
雖	1104998
皮	1104880
牌	1103051
值	1100832
演	1097171
據	1096673
店	1094201
必	1094145
六	1094081
容	1092853
票	1092327
科	1091485
岩	1090030
級	1079129
佬	1078732
德	1078159
廣	1077673
準	1077173
依家	1077159
最後	1076369
步	1075323
廢	1075055
功	1073731
千	1072149
銀	1071635
城	1067600
威	1065783
香港人	1063705
親	1063382
引	1062611
表示	1061165
支持	1061028
輸	1059159
一次	1058226
但係	1056618
武	1054254
很	1053172
啊	1052393
標	1050479
億	1050011
護	1049419
機會	1049346
跌	1048958
成日	1048378
房	1047650
圍	1046282
稱	1045462
普	1042804
官	1042579
黨	1038366
北	1036662
多人	1027582
訊	1026993
管	1026690
星期	1023235
義	1022982
日本	1020466
王	1019622
增	1019320
陸	1015363
九	1012435
都要	1010779
停	1010669
宣	1007941
只係	1005614
絲	1002686
一齊	1000759
歌	1000472
設	997889
況	996900
照	995862
鐵	992197
仲要	990870
越	990644
陳	985960
記者	974458
命	973689
思	970591
參	968733
站	968287
段	967742
助	966485
贏	965552
比人	965314
會有	962869
寫	962167
觀	961309
型	959457
同埋	959150
才	958330
抽	956605
又唔	954918
環	953711
職	952417
攻	951090
南	950985
李	950516
舉	946659
都冇	946508
版	944376
兩個	943772
仆	941303
耐	941044
喎	940606
人地	938945
極	938405
際	933464
慢	933143
雖然	930753
控	930180
勢	929606
歐	929266
藍	927681
質	926481
垃	926152
八	924903
靚	924523
遠	923865
獨	921738
仍	918934
油	917617
深	916396
有咩	915461
否	913161
圾	912355
款	910820
彈	910391
突	909795
層	908740
維	907240
供	906541
淨	904774
技	904063
類	903583
眾	903042
有一	902424
兒	901704
席	900214
味	899926
套	895886
候	895493
啱	895428
雞	895119
都會	894091
垃圾	891168
根本	887070
沙	886547
繼續	886472
獲	885740
救	881714
腳	880382
哥	879909
毒	879226
統	878071
你老	875550
以為	868680
甚	867482
人都	866037
屋企	865657
減	864835
尾	863631
肯	863599
仆街	862728
雙	861923
他們	861169
節	856779
腦	854727
屌你	854665
鬼	853974
今年	850050
坐	849847
射	847449
估	845672
好撚	845306
校	844707
刻	842513
負	842419
斷	841538
初	840184
限	837551
劇	835656
頂	832309
壓	832302
形	831149
輕	831012
影響	830917
着	830757
柒	830355
疑	830141
讓	829756
滿	828604
音	828574
絕	826525
破	825285
精	822366
領	822257
戲	822163
都無	820058
